1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
65, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
66, plains, minecraft:plains, MONSTER, dungeons_mobs:wraith, 10, 1, 1
67, plains, minecraft:plains, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
68, plains, minecraft:plains, MONSTER, geode:redstonegeode, 30, 1, 1
69, plains, minecraft:plains, MONSTER, geode:quartzgeode, 45, 1, 1
70, plains, minecraft:plains, MONSTER, geode:lapisgeode, 35, 1, 1
71, plains, minecraft:plains, MONSTER, geode:irongeode, 40, 1, 1
72, plains, minecraft:plains, MONSTER, geode:goldgeode, 35, 1, 1
73, plains, minecraft:plains, MONSTER, geode:glowstonegeode, 45, 1, 1
74, plains, minecraft:plains, MONSTER, geode:emeraldgeode, 45, 1, 1
75, plains, minecraft:plains, MONSTER, geode:diamondgeode, 25, 1, 1
76, plains, minecraft:plains, MONSTER, geode:coalgeode, 50, 1, 1
77, plains, minecraft:plains, MONSTER, mowziesmobs:grottol, 10, 1, 1
78, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
79, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
80, plains, minecraft:plains, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
81, plains, minecraft:plains, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
82, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
83, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
84, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
85, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
86, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
87, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
88, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
89, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
90, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
91, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
92, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
93, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
94, plains, minecraft:plains, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
95, plains, minecraft:plains, CREATURE, ars_nouveau:sylph, 10, 1, 1
96, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
97, plains, minecraft:plains, CREATURE, betteranimalsplus:goat, 10, 1, 4
98, plains, minecraft:plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
99, plains, minecraft:plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
100, plains, minecraft:plains, CREATURE, betteranimalsplus:badger, 10, 1, 2
101, plains, minecraft:plains, CREATURE, betteranimalsplus:coyote, 10, 1, 6
102, plains, minecraft:plains, CREATURE, betteranimalsplus:boar, 10, 1, 4
103, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
104, plains, minecraft:plains, AMBIENT, supplementaries:firefly, 10, 5, 9
105, plains, minecraft:plains, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
106, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
107, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
108, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
109, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
110, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
111, desert, minecraft:desert, MONSTER, minecraft:zombie, 17, 4, 4
112, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
113, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
114, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
115, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
116, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
117, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
118, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
119, desert, minecraft:desert, MONSTER, thermal:blitz, 10, 1, 3
120, desert, minecraft:desert, MONSTER, dungeons_mobs:wraith, 10, 1, 1
121, desert, minecraft:desert, MONSTER, dungeons_mobs:necromancer, 10, 1, 1
122, desert, minecraft:desert, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
123, desert, minecraft:desert, MONSTER, geode:redstonegeode, 30, 1, 1
124, desert, minecraft:desert, MONSTER, geode:quartzgeode, 45, 1, 1
125, desert, minecraft:desert, MONSTER, geode:lapisgeode, 35, 1, 1
126, desert, minecraft:desert, MONSTER, geode:irongeode, 40, 1, 1
127, desert, minecraft:desert, MONSTER, geode:goldgeode, 35, 1, 1
128, desert, minecraft:desert, MONSTER, geode:glowstonegeode, 45, 1, 1
129, desert, minecraft:desert, MONSTER, geode:emeraldgeode, 45, 1, 1
130, desert, minecraft:desert, MONSTER, geode:diamondgeode, 25, 1, 1
131, desert, minecraft:desert, MONSTER, geode:coalgeode, 50, 1, 1
132, desert, minecraft:desert, MONSTER, mowziesmobs:grottol, 10, 1, 1
133, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
134, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
135, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
136, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
137, desert, minecraft:desert, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
138, desert, minecraft:desert, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
139, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
140, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
141, desert, minecraft:desert, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
142, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
143, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
144, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
145, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
146, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
147, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
148, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
149, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 10, 1, 1
150, desert, minecraft:desert, CREATURE, betteranimalsplus:coyote, 10, 1, 6
151, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
152, desert, minecraft:desert, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
153, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
154, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
155, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
156, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
157, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 80, 4, 4
158, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 80, 4, 4
159, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
160, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 80, 4, 4
161, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 80, 4, 4
162, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 80, 4, 4
163, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 5, 1, 4
164, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
165, extreme_hills, minecraft:mountains, MONSTER, thermal:basalz, 10, 1, 3
166, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:wraith, 10, 1, 1
167, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
168, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:mountaineer, 10, 1, 4
169, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:windcaller, 10, 1, 1
170, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:illusioner, 10, 1, 1
171, extreme_hills, minecraft:mountains, MONSTER, geode:redstonegeode, 30, 1, 1
172, extreme_hills, minecraft:mountains, MONSTER, geode:quartzgeode, 45, 1, 1
173, extreme_hills, minecraft:mountains, MONSTER, geode:lapisgeode, 35, 1, 1
174, extreme_hills, minecraft:mountains, MONSTER, geode:irongeode, 40, 1, 1
175, extreme_hills, minecraft:mountains, MONSTER, geode:goldgeode, 35, 1, 1
176, extreme_hills, minecraft:mountains, MONSTER, geode:glowstonegeode, 45, 1, 1
177, extreme_hills, minecraft:mountains, MONSTER, geode:emeraldgeode, 45, 1, 1
178, extreme_hills, minecraft:mountains, MONSTER, geode:diamondgeode, 25, 1, 1
179, extreme_hills, minecraft:mountains, MONSTER, geode:coalgeode, 50, 1, 1
180, extreme_hills, minecraft:mountains, MONSTER, mowziesmobs:grottol, 10, 1, 1
181, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
182, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
183, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
184, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
185, extreme_hills, minecraft:mountains, MONSTER, dungeons_mobs:armored_mountaineer, 10, 1, 4
186, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_guardian, 40, 1, 1
187, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
188, extreme_hills, minecraft:mountains, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
189, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 12, 4, 4
190, extreme_hills, minecraft:mountains, CREATURE, minecraft:pig, 10, 4, 4
191, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 10, 4, 4
192, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 10, 4, 4
193, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 10, 4, 6
194, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
195, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
196, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
197, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:sylph, 10, 1, 1
198, extreme_hills, minecraft:mountains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
199, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:lammergeier, 10, 1, 2
200, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:goat, 10, 1, 4
201, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 8, 8
202, extreme_hills, minecraft:mountains, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
203, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
204, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
205, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
206, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
207, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
208, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
209, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
210, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
211, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
212, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
213, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
214, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
215, forest, minecraft:forest, MONSTER, dungeons_mobs:wraith, 10, 1, 1
216, forest, minecraft:forest, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
217, forest, minecraft:forest, MONSTER, geode:redstonegeode, 30, 1, 1
218, forest, minecraft:forest, MONSTER, geode:quartzgeode, 45, 1, 1
219, forest, minecraft:forest, MONSTER, geode:lapisgeode, 35, 1, 1
220, forest, minecraft:forest, MONSTER, geode:irongeode, 40, 1, 1
221, forest, minecraft:forest, MONSTER, geode:goldgeode, 35, 1, 1
222, forest, minecraft:forest, MONSTER, geode:glowstonegeode, 45, 1, 1
223, forest, minecraft:forest, MONSTER, geode:emeraldgeode, 45, 1, 1
224, forest, minecraft:forest, MONSTER, geode:diamondgeode, 25, 1, 1
225, forest, minecraft:forest, MONSTER, geode:coalgeode, 50, 1, 1
226, forest, minecraft:forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
227, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
228, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
229, forest, minecraft:forest, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
230, forest, minecraft:forest, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
231, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
232, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
233, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
234, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
235, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
236, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
237, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
238, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
239, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
240, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
241, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
242, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
243, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
244, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
245, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
246, forest, minecraft:forest, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
247, forest, minecraft:forest, CREATURE, ars_nouveau:sylph, 10, 1, 1
248, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
249, forest, minecraft:forest, CREATURE, betteranimalsplus:goat, 10, 1, 4
250, forest, minecraft:forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
251, forest, minecraft:forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
252, forest, minecraft:forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
253, forest, minecraft:forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
254, forest, minecraft:forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
255, forest, minecraft:forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
256, forest, minecraft:forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
257, forest, minecraft:forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
258, forest, minecraft:forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
259, forest, minecraft:forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
260, forest, minecraft:forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
261, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
262, forest, minecraft:forest, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
263, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
264, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
265, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
266, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
267, forest, minecraft:forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
268, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
269, taiga, minecraft:taiga, MONSTER, minecraft:zombie, 80, 4, 4
270, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
271, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
272, taiga, minecraft:taiga, MONSTER, minecraft:creeper, 80, 4, 4
273, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
274, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
275, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
276, taiga, minecraft:taiga, MONSTER, dungeons_mobs:wraith, 10, 1, 1
277, taiga, minecraft:taiga, MONSTER, dungeons_mobs:skeleton_horseman, 10, 1, 1
278, taiga, minecraft:taiga, MONSTER, geode:redstonegeode, 30, 1, 1
279, taiga, minecraft:taiga, MONSTER, geode:quartzgeode, 45, 1, 1
280, taiga, minecraft:taiga, MONSTER, geode:lapisgeode, 35, 1, 1
281, taiga, minecraft:taiga, MONSTER, geode:irongeode, 40, 1, 1
282, taiga, minecraft:taiga, MONSTER, geode:goldgeode, 35, 1, 1
283, taiga, minecraft:taiga, MONSTER, geode:glowstonegeode, 45, 1, 1
284, taiga, minecraft:taiga, MONSTER, geode:emeraldgeode, 45, 1, 1
285, taiga, minecraft:taiga, MONSTER, geode:diamondgeode, 25, 1, 1
286, taiga, minecraft:taiga, MONSTER, geode:coalgeode, 50, 1, 1
287, taiga, minecraft:taiga, MONSTER, mowziesmobs:grottol, 10, 1, 1
288, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
289, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
290, taiga, minecraft:taiga, MONSTER, dungeons_mobs:armored_zombie, 10, 4, 4
291, taiga, minecraft:taiga, MONSTER, dungeons_mobs:armored_skeleton, 10, 4, 4
292, taiga, minecraft:taiga, MONSTER, ars_nouveau:wilden_guardian, 40, 1, 1
293, taiga, minecraft:taiga, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
294, taiga, minecraft:taiga, MONSTER, ars_nouveau:wilden_hunter, 30, 1, 1
295, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
296, taiga, minecraft:taiga, CREATURE, minecraft:pig, 10, 4, 4
297, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
298, taiga, minecraft:taiga, CREATURE, minecraft:cow, 10, 4, 4
299, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 10, 4, 4
300, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 10, 2, 3
301, taiga, minecraft:taiga, CREATURE, minecraft:fox, 10, 2, 4
302, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
303, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
304, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
305, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
306, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
307, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
308, taiga, minecraft:taiga, CREATURE, ars_nouveau:drygmy, 10, 1, 1
309, taiga, minecraft:taiga, CREATURE, betteranimalsplus:goat, 10, 1, 4
310, taiga, minecraft:taiga, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
311, taiga, minecraft:taiga, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
312, taiga, minecraft:taiga, CREATURE, betteranimalsplus:songbird, 11, 1, 4
313, taiga, minecraft:taiga, CREATURE, betteranimalsplus:badger, 10, 1, 2
314, taiga, minecraft:taiga, CREATURE, betteranimalsplus:turkey, 11, 1, 3
315, taiga, minecraft:taiga, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
316, taiga, minecraft:taiga, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
317, taiga, minecraft:taiga, CREATURE, betteranimalsplus:deer, 16, 1, 4
318, taiga, minecraft:taiga, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
319, taiga, minecraft:taiga, CREATURE, betteranimalsplus:boar, 10, 1, 4
320, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
321, taiga, minecraft:taiga, AMBIENT, megameteors:falling_meteor_spawner_entity, 10, 1, 1
322, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
323, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
324, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
325, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
326, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
327, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
328, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
329, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
330, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
331, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
332, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
333, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
334, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
